goals:11,8;9,9;3,9;4,2;9,8;11,9;2,2;13,5;10,6;6,5;4,7;9,7;10,9;1,5;2,9;2,1;3,5;11,3;12,5;3,7;4,1;9,2;2,5;10,4;3,6;4,3;7,5;3,4;9,3;10,2;
room0:2,1;3,1;4,1;2,2;3,2;4,2;2,3;3,3;4,3;
25|pos:2,5;1,5;3,9;4,2;9,5;3,7;10,3;4,5;10,7;3,2;4,9;11,3;3,3;10,6;3,4;10,4;11,5;11,2;12,5;4,7;2,8;9,2;4,8;10,5;4,3;3,8;10,2;3,5;9,3;2,7;|pri:24.1667;24.0667;0.0666666;0.533333;24.4667;24.3333;24.3667;24.3333;6.2;21.4333;24.0667;24.0333;24.1667;10.5333;24.2333;24.5;24.3;5.23333;0.200001;1.43333;24.1667;0.0999999;24.1333;24.5;24.1;24.2333;24.2;24.4333;0.133333;24.3;|fires:0;agent:-1
26|pos:2,5;1,5;3,9;4,2;9,5;3,7;10,4;5,5;10,7;3,2;4,9;11,3;3,4;10,6;3,5;10,5;12,5;11,2;13,5;4,7;2,8;9,2;4,8;11,5;3,3;3,8;10,3;3,6;9,3;2,7;|pri:25.1667;25.0667;0.0666666;0.533333;25.4667;25.3333;25.3667;25.3333;7.2;22.4333;25.0667;25.0333;25.1667;11.5333;25.2333;25.5;25.3;6.23333;1.2;2.43333;25.1667;0.0999999;25.1333;25.5;25.1;25.2333;25.2;25.4333;0.133333;25.3;|fires:0;agent:-1
27|pos:2,5;1,5;3,9;4,2;8,5;3,6;10,4;6,5;10,7;3,2;4,9;11,3;3,4;10,6;4,5;9,5;11,5;11,2;12,5;4,7;2,7;9,2;4,8;10,5;3,3;3,8;10,3;3,5;9,3;3,7;|pri:26.1667;26.0667;0.0666666;0.533333;26.4667;26.3333;26.3667;26.3333;8.2;23.4333;26.0667;26.0333;26.1667;12.5333;26.2333;26.5;26.3;7.23333;0.200001;3.43333;26.1667;0.0999999;26.1333;26.5;26.1;26.2333;26.2;26.4333;0.133333;26.3;|fires:0;agent:-1
28|pos:2,5;1,5;2,9;4,2;7,5;3,7;10,5;6,5;11,7;3,2;3,9;10,3;3,4;10,7;3,5;8,5;11,5;11,3;12,5;4,7;2,7;9,2;4,9;10,6;3,3;4,8;10,4;3,6;9,3;3,8;|pri:27.1667;27.0667;1.06667;0.533333;27.4667;27.3333;27.3667;27.3333;9.2;24.4333;27.0667;27.0333;27.1667;13.5333;27.2333;27.5;27.3;0.233334;0.200001;4.43333;27.1667;0.0999999;27.1333;27.5;27.1;27.2333;27.2;27.4333;0.133333;27.3;|fires:0;agent:-1
29|pos:2,5;1,5;3,9;4,2;6,5;3,6;9,5;5,5;10,7;3,2;4,9;10,3;3,3;10,6;3,4;7,5;11,5;11,3;12,5;4,7;2,7;9,2;4,8;10,5;4,3;3,8;10,4;3,5;9,3;3,7;|pri:28.1667;28.0667;0.0666666;0.533333;28.4667;28.3333;28.3667;28.3333;10.2;25.4333;28.0667;28.0333;28.1667;14.5333;28.2333;28.5;28.3;0.233334;0.200001;5.43333;28.1667;0.0999999;28.1333;28.5;28.1;28.2333;28.2;28.4333;0.133333;28.3;|fires:0;agent:-1
30|pos:2,5;1,5;2,9;4,2;5,5;3,7;8,5;4,5;10,7;3,2;3,9;10,4;3,4;10,6;3,5;6,5;12,5;11,3;13,5;4,7;2,7;9,2;4,9;11,5;3,3;4,8;10,5;3,6;9,3;3,8;|pri:29.1667;29.0667;1.06667;0.533333;29.4667;29.3333;29.3667;29.3333;11.2;26.4333;29.0667;29.0333;29.1667;15.5333;29.2333;29.5;29.3;0.233334;1.2;6.43333;29.1667;0.0999999;29.1333;29.5;29.1;29.2333;29.2;29.4333;0.133333;29.3;|fires:0;agent:-1
31|pos:2,5;1,5;2,9;4,2;4,5;2,7;7,5;3,5;10,7;3,2;3,9;10,4;3,4;10,6;3,6;5,5;11,5;11,3;12,5;4,7;2,8;9,2;4,9;10,5;3,3;4,8;9,5;3,7;9,3;3,8;|pri:30.1667;30.0667;2.06667;0.533333;30.4667;30.3333;30.3667;30.3333;12.2;27.4333;30.0667;30.3;30.1667;16.5333;-1;30.5;30.0333;0.233334;0.200001;7.43333;30.1667;0.0999999;30.1333;30.5;30.1;30.2333;30.2;30.4333;0.133333;30.3;|fires:1;agent:14
32|pos:2,5;1,5;2,9;4,2;3,5;2,7;6,5;3,4;10,8;3,2;3,9;10,5;3,3;10,7;3,6;4,5;11,5;11,3;12,5;4,7;2,8;9,2;4,9;10,6;2,3;4,8;8,5;3,7;9,3;3,8;|pri:31.1667;31.0667;3.06667;0.533333;31.4667;31.3333;31.3667;31.3333;13.2;28.4333;31.0667;31.3;31.1667;17.5333;0;31.5;31.0333;0.233334;0.200001;8.43333;31.1667;0.0999999;31.1333;31.5;31.1;31.2333;31.2;31.4333;0.133333;31.3;|fires:0;agent:-1
33|pos:2,5;1,5;2,9;4,2;3,4;2,7;5,5;3,3;10,7;3,2;3,9;11,5;4,3;10,6;3,6;3,5;12,5;11,3;13,5;4,7;2,8;9,2;4,9;10,5;2,3;4,8;7,5;3,7;9,3;3,8;|pri:32.0667;1;4.06667;0.533333;32.4667;32.3333;32.3667;32.3333;14.2;29.4333;32.0667;32.3;32.1667;18.5333;32.1667;32.5;32.0333;0.233334;1.2;9.43333;32.1667;0.0999999;32.1333;32.5;32.1;32.2333;0.200001;32.4333;0.133333;32.3;|fires:0;agent:-1
34|pos:2,5;1,5;2,8;4,2;3,3;3,7;4,5;3,2;10,7;3,1;2,9;10,5;4,3;10,6;3,5;3,4;11,5;11,3;12,5;4,7;2,7;9,2;3,9;10,4;2,3;4,8;7,5;3,6;9,3;3,8;|pri:33.0667;2;5.06667;0.533333;33.4667;33.3333;33.3667;33.3333;15.2;30.4333;33.0667;33.3;33.1667;19.5333;30.2333;33.5;33.0333;0.233334;0.200001;10.4333;33.1667;0.0999999;33.1333;0.5;33.1;33.2333;0.200001;33.4333;0.133333;33.3;|fires:0;agent:-1
