goals:8,4;12,4;1,1;1,7;5,3;3,3;4,1;1,6;5,1;5,7;2,7;6,4;12,5;11,4;6,1;3,2;9,4;6,7;11,5;3,6;4,4;7,4;2,4;10,3;2,3;6,6;1,4;2,5;3,4;10,4;3,7;10,5;6,2;4,7;4,5;
room0:10,3;11,3;12,3;10,4;11,4;12,4;10,5;11,5;12,5;
11|pos:3,4;8,4;1,1;1,7;10,3;2,3;4,7;4,6;5,1;5,7;3,7;3,5;9,4;6,4;6,5;2,2;5,2;6,3;6,6;2,7;10,5;7,4;2,4;5,4;3,3;2,5;1,4;10,4;3,2;5,3;3,6;11,5;6,2;2,6;4,5;|pri:10.2571;10.2571;0.142857;0.171429;10.2;1.28571;10.1714;10.3714;0.2;0.114285;10.2571;10.2857;10.2857;10.2;10.2286;3.11429;10.1714;10.2;10.1429;4.14286;10.2;0.342857;0.171429;10.3429;10.1714;10.1714;0.142857;10.2571;10.1429;7.08571;10.3143;2.02857;0.0857143;10.1714;0.114285;|fires:0;agent:-1
12|pos:4,4;9,4;1,1;1,7;11,3;2,4;4,6;3,6;5,1;5,7;2,7;3,4;10,4;7,4;6,5;3,2;6,2;6,3;6,6;2,6;10,5;8,4;1,4;6,4;2,3;3,5;1,5;10,3;3,3;5,4;3,7;11,5;6,1;1,6;4,5;|pri:11.2571;11.2571;0.142857;0.171429;11.2;2.28571;11.1714;11.3714;0.2;0.114285;0.257143;11.2857;11.2857;11.2;11.1429;0.114286;11.1714;11.2;8.08571;5.14286;11.2;1.34286;1.17143;11.3429;0.171429;11.1714;1.14286;11.2571;11.1429;11.2286;0.314285;3.02857;1.08571;11.1714;0.114285;|fires:0;agent:-1
13|pos:5,4;10,4;1,1;2,7;11,3;2,3;4,5;2,6;5,1;5,7;3,7;4,4;11,4;8,4;6,5;3,2;6,2;6,3;6,6;1,6;10,5;9,4;2,4;7,4;3,3;3,6;1,4;10,3;3,4;6,4;4,7;11,5;6,1;1,7;5,5;|pri:12.2571;12.2571;0.142857;1.31429;12.2;3.28571;12.1714;12.3714;0.2;0.114285;1.25714;12.2857;12.2857;12.2;12.1429;0.114286;12.1714;12.2;9.08571;6.14286;12.2;12.2571;0.171429;12.3429;1.17143;12.1714;0.142857;2.34286;0.142857;12.2286;1.17143;4.02857;2.08571;12.1714;1.11429;|fires:0;agent:-1
14|pos:6,4;11,4;1,1;3,7;11,3;3,3;4,4;1,6;5,1;5,7;3,6;5,4;12,4;9,4;6,5;3,2;6,2;6,3;6,6;1,5;10,5;10,4;2,4;8,4;4,3;4,6;1,4;10,3;3,4;7,4;4,7;11,5;6,1;2,7;4,5;|pri:13.2571;13.2571;0.142857;2.31429;13.2;0.285714;13.1714;0.371428;0.2;0.114285;2.25714;13.2857;13.2857;13.2;13.1429;0.114286;13.1714;13.2;10.0857;7.14286;13.2;13.2571;0.171429;13.3429;2.17143;13.1714;0.142857;3.34286;0.142857;13.2286;2.17143;5.02857;3.08571;13.1714;0.114285;|fires:0;agent:-1
15|pos:7,4;12,4;1,1;4,7;11,4;3,2;4,3;1,6;5,1;5,7;2,6;6,4;12,5;10,4;6,5;3,1;6,2;6,3;6,6;2,5;10,5;10,3;2,4;9,4;3,3;5,6;1,4;11,3;3,4;8,4;4,6;11,5;6,1;3,7;4,5;|pri:14.2571;0.257143;0.142857;3.31429;14.2;1.28571;14.1714;0.371428;0.2;0.114285;3.25714;0.285714;0.285714;14.2;14.1429;1.11429;14.1714;14.2;11.0857;8.14286;14.2;14.2571;0.171429;14.3429;3.17143;14.1714;0.142857;4.34286;0.142857;14.2286;3.17143;6.02857;4.08571;14.1714;0.114285;|fires:0;agent:-1
16|pos:8,4;12,3;1,1;4,6;12,4;3,3;4,2;1,6;5,1;5,7;2,7;7,4;12,5;11,4;5,5;3,2;6,3;6,4;6,5;3,5;10,5;10,3;2,4;10,4;2,3;6,6;1,4;11,3;3,4;9,4;3,6;11,5;6,2;4,7;4,5;|pri:0.257143;0.2;0.142857;4.31429;15.2;0.285714;15.1714;0.371428;0.2;0.114285;0.257143;1.28571;0.285714;1.25714;15.1429;0.114286;15.1714;15.2;12.0857;9.14286;15.2571;15.2;0.171429;15.3429;0.171429;0.171429;0.142857;5.34286;0.142857;-1;4.17143;7.02857;0.0857143;0.171429;0.114285;|fires:1;agent:29
17|pos:8,4;12,3;1,1;4,7;12,5;3,3;4,1;1,6;5,1;6,7;2,7;7,4;11,5;12,4;5,4;3,2;6,4;6,5;6,6;3,6;10,4;10,3;2,4;11,4;2,3;5,6;1,4;11,3;3,4;9,4;3,7;10,5;6,2;5,7;4,5;|pri:0.257143;1.2;0.142857;5.31429;16.2;0.285714;0.171429;0.371428;0.2;1.11429;0.257143;2.28571;1.28571;2.25714;16.1429;0.114286;16.1714;16.2;13.0857;0.142857;16.2571;16.2;0.171429;16.3429;0.171429;1.17143;0.142857;6.34286;0.142857;0;0.171429;0.0285716;0.0857143;1.17143;0.114285;|fires:0;agent:-1
18|pos:7,4;12,3;1,1;3,7;12,4;3,3;4,1;1,6;5,1;5,7;2,7;6,4;12,5;11,4;5,3;3,2;6,3;6,6;5,6;3,5;9,4;10,3;2,4;10,4;2,3;4,6;1,4;11,3;3,4;8,4;3,6;10,5;6,2;4,7;4,5;|pri:17.1714;2.2;0.142857;6.31429;17.2;0.285714;0.171429;0.371428;0.2;0.114285;0.257143;0.285714;0.285714;0.257143;17.1429;0.114286;1.25714;17.2;14.0857;1.14286;17.2571;17.2;0.171429;17.3429;0.171429;2.17143;0.142857;7.34286;0.142857;15.2286;1.17143;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
19|pos:6,4;12,4;1,1;2,7;11,4;3,3;4,1;1,6;5,1;5,7;2,6;6,5;12,5;11,3;5,2;3,2;6,3;6,7;5,5;3,6;8,4;10,4;2,4;9,4;2,3;5,6;1,4;10,3;3,4;7,4;3,7;10,5;6,2;4,7;4,5;|pri:18.1714;0.2;0.142857;7.31429;18.2;0.285714;0.171429;0.371428;0.2;0.114285;1.25714;1.28571;0.285714;1.25714;18.1429;0.114286;2.25714;0.200001;15.0857;0.142857;18.2571;18.2;0.171429;18.3429;0.171429;3.17143;0.142857;8.34286;0.142857;16.2286;0.171429;0.0285716;0.0857143;0.171429;0.114285;|fires:0;agent:-1
20|pos:6,3;12,3;1,1;1,7;12,4;3,3;3,1;1,6;4,1;5,7;2,7;6,5;12,5;11,4;5,1;3,2;6,2;6,7;5,4;3,6;7,4;10,3;2,4;10,4;2,3;6,6;1,4;11,3;3,4;6,4;3,7;10,5;6,1;4,7;4,5;|pri:19.1714;1.2;0.142857;0.314285;19.2;0.285714;1.17143;0.371428;1.2;0.114285;0.257143;2.28571;0.285714;0.257143;19.1429;0.114286;3.25714;0.200001;16.0857;0.142857;19.2571;19.2;0.171429;19.3429;0.171429;0.171429;0.142857;9.34286;0.142857;17.2286;0.171429;0.0285716;1.08571;0.171429;0.114285;|fires:0;agent:-1
